service_request_id,requested_date,closed_date,Days _to _Resolve,Response_Catergory,Priority_Score,is_slow,source,comm_code,comm_name,longitude,latitude
24-00490749,2024-06-24,2024-06-25,1,1 Day,5,0,Other,BRD,BRIDGELAND/RIVERSIDE,-114.0350798,51.05055069
24-00051907,2024-01-22,2024-01-22,0,Same Day,5,0,App,SAD,SADDLE RIDGE,-113.9456225,51.13057324
24-00507127,2024-06-28,2024-07-03,5,1 Week,3,0,Other,HUN,HUNTINGTON HILLS,-114.0667086,51.11758075
24-00870939,2024-11-13,2024-11-13,0,Same Day,5,0,App,BOW,BOWNESS,-114.1883885,51.08334629
24-00680032,2024-08-28,2024-08-28,0,Same Day,5,0,App,BEL,BEL-AIRE,-114.0889343,50.99944255
24-00501966,2024-06-27,2024-06-27,0,Same Day,5,0,App,BLN,BELTLINE,-114.0551861,51.03743796
24-00501760,2024-06-27,2024-06-27,0,Same Day,5,0,Other,SPH,SPRINGBANK HILL,-114.2098197,51.02656453
24-00504874,2024-06-27,2024-06-27,0,Same Day,5,0,Other,OGD,OGDEN,-114.0124423,50.99187834
24-00491910,2024-06-24,2024-06-27,3,2-3 Days,4,0,Other,SIG,SIGNAL HILL,-114.179907,51.02326017
24-00060136,2024-01-24,2024-03-25,61,Over 2 Weeks,1,1,Other,12B,12B,-113.8986859,50.93922077
24-00507347,2024-06-28,2024-06-28,0,Same Day,5,0,App,BED,BEDDINGTON HEIGHTS,-114.0849111,51.13164399
24-00287715,2024-04-21,2024-04-21,0,Same Day,5,0,Other,MCK,MCKENZIE LAKE,-113.9881872,50.91486638
24-00872400,2024-11-13,2024-11-13,0,Same Day,5,0,App,EYA,ELBOYA,-114.0736046,51.01299335
24-00453527,2024-06-13,2024-07-29,46,Over 2 Weeks,1,1,Other,CRE,CRESCENT HEIGHTS,-114.0616132,51.05949595
24-00288951,2024-04-22,2024-04-22,0,Same Day,5,0,Other,CAP,CAPITOL HILL,-114.0946312,51.07266528
24-00271377,2024-04-15,2024-04-22,7,1 Week,3,0,Other,UND,UNIVERSITY DISTRICT,-114.1449648,51.07385412
24-00278020,2024-04-17,2024-04-22,5,1 Week,3,0,Other,UND,UNIVERSITY DISTRICT,-114.1449648,51.07385412
24-00290895,2024-04-22,2024-04-22,0,Same Day,5,0,Other,STR,STRATHCONA PARK,-114.1775868,51.04741014
24-00292033,2024-04-22,2024-04-22,0,Same Day,5,0,Other,OGD,OGDEN,-114.0124423,50.99187834
24-00080659,2024-01-31,2024-01-31,0,Same Day,5,0,Phone,VIS,VISTA HEIGHTS,-114.0177052,51.07193318
24-00064845,2024-01-25,2024-02-28,34,Over 2 Weeks,1,1,Other,DNW,DOWNTOWN WEST END,-114.0877794,51.04796914
24-00278592,2024-04-17,2024-04-23,6,1 Week,3,0,Other,MON,MONTGOMERY,-114.1622482,51.07107614
24-00065347,2024-01-26,2024-03-25,59,Over 2 Weeks,1,1,Phone,FLN,FOREST LAWN,-113.9700019,51.03784805
24-00287887,2024-04-21,2024-04-23,2,2-3 Days,4,0,Other,SGH,SAGE HILL,-114.1406861,51.17561697
24-00070324,2024-01-28,2024-01-28,0,Same Day,5,0,App,BLN,BELTLINE,-114.0551861,51.03743796
24-00288210,2024-04-21,2024-04-23,2,2-3 Days,4,0,Other,06A,06A,-114.2298423,51.05924132
24-00288317,2024-04-21,2024-04-23,2,2-3 Days,4,0,App,MOP,MOUNT PLEASANT,-114.07603,51.07423791
24-00526750,2024-07-05,2024-07-05,0,Same Day,5,0,Other,UMR,UPPER MOUNT ROYAL,-114.0850257,51.02997368
24-00511608,2024-06-30,2024-07-16,16,Over 2 Weeks,1,1,Other,CAP,CAPITOL HILL,-114.0946312,51.07266528
24-00306573,2024-04-26,2024-05-07,11,2 Weeks,2,1,Phone,HOU,HOUNSFIELD HEIGHTS/BRIAR HILL,-114.1057298,51.06317954
24-00299955,2024-04-24,2024-04-24,0,Same Day,5,0,Phone,MLI,MAYLAND,-114.0103024,51.05239256
24-00299952,2024-04-24,2024-04-24,0,Same Day,5,0,Phone,PEN,PENBROOKE MEADOWS,-113.9476872,51.04585329
24-00295522,2024-04-23,2024-05-10,17,Over 2 Weeks,1,1,Phone,HAM,HAMPTONS,-114.1466842,51.14509284
24-00296758,2024-04-24,2024-04-24,0,Same Day,5,0,Phone,PKH,PARKHILL,-114.0655345,51.01819229
24-00068540,2024-01-27,2024-02-06,10,2 Weeks,2,1,Other,HAY,HAYSBORO,-114.0833402,50.97221484
24-00298159,2024-04-24,2024-04-24,0,Same Day,5,0,Other,PEN,PENBROOKE MEADOWS,-113.9476872,51.04585329
24-00296611,2024-04-24,2024-05-09,15,Over 2 Weeks,1,1,Other,RAN,RANCHLANDS,-114.183647,51.11917908
24-00080696,2024-01-31,2024-01-31,0,Same Day,5,0,Other,MRT,MARTINDALE,-113.9583871,51.11791373
24-00902028,2024-11-26,2025-01-13,48,Over 2 Weeks,1,1,Other,BLN,BELTLINE,-114.0551861,51.03743796
24-00300579,2024-04-25,2024-04-25,0,Same Day,5,0,Other,WHL,WEST HILLHURST,-114.1151585,51.05507951
24-00070680,2024-01-28,2024-01-28,0,Same Day,5,0,Other,THO,THORNCLIFFE,-114.0687804,51.10310303
24-00301857,2024-04-25,2024-04-25,0,Same Day,5,0,Other,OAK,OAKRIDGE,-114.129614,50.9696628
24-00302883,2024-04-25,2024-04-25,0,Same Day,5,0,Phone,PEN,PENBROOKE MEADOWS,-113.9476872,51.04585329
24-00308716,2024-04-28,2024-05-27,29,Over 2 Weeks,1,1,Phone,OAK,OAKRIDGE,-114.129614,50.9696628
24-00310507,2024-04-29,2024-04-29,0,Same Day,5,0,App,AUB,AUBURN BAY,-113.9577951,50.89269508
24-00419681,2024-06-04,2024-07-03,29,Over 2 Weeks,1,1,Other,HIL,HILLHURST,-114.093646,51.05727753
24-00076463,2024-01-30,2024-05-30,121,Over 2 Weeks,1,1,Phone,THO,THORNCLIFFE,-114.0687804,51.10310303
24-00317519,2024-05-01,2024-05-01,0,Same Day,5,0,App,SNA,SUNALTA,-114.1014859,51.04295989
24-00304575,2024-04-26,2024-04-26,0,Same Day,5,0,Phone,DDG,DOUGLASDALE/GLEN,-114.0119081,50.94844437
24-00507967,2024-06-28,2024-08-26,59,Over 2 Weeks,1,1,Other,OAK,OAKRIDGE,-114.129614,50.9696628
24-00519998,2024-07-03,2024-07-03,0,Same Day,5,0,Other,GDL,GLENDALE,-114.1527189,51.03337139
24-00507129,2024-06-28,2024-07-03,5,1 Week,3,0,Other,HUN,HUNTINGTON HILLS,-114.0667086,51.11758075
24-00074715,2024-01-30,2024-01-30,0,Same Day,5,0,App,DNC,DOWNTOWN COMMERCIAL CORE,-114.0695937,51.04727444
24-00078163,2024-01-31,2024-03-15,44,Over 2 Weeks,1,1,Other,06B,06B,-114.230437,51.0781262
24-00079616,2024-01-31,2024-02-28,28,Over 2 Weeks,1,1,Other,DNC,DOWNTOWN COMMERCIAL CORE,-114.0695937,51.04727444
24-00083593,2024-02-01,2024-02-01,0,Same Day,5,0,Other,HSD,HOMESTEAD,-113.9165003,51.12162971
24-00306680,2024-04-27,2024-05-08,11,2 Weeks,2,1,Phone,AUB,AUBURN BAY,-113.9577951,50.89269508
24-00077643,2024-01-31,2024-01-31,0,Same Day,5,0,Phone,WAL,WALDEN,-114.0326195,50.87040629
24-00078737,2024-01-31,2024-01-31,0,Same Day,5,0,Phone,MRL,MARLBOROUGH,-113.9699877,51.05954228
24-00080642,2024-01-31,2024-05-10,100,Over 2 Weeks,1,1,Other,TEM,TEMPLE,-113.9467677,51.08879459
24-00525580,2024-07-04,2024-07-04,0,Same Day,5,0,App,CAP,CAPITOL HILL,-114.0946312,51.07266528
24-00306753,2024-04-27,2024-04-27,0,Same Day,5,0,Other,RID,RIDEAU PARK,-114.0741618,51.02487577
24-00088004,2024-02-03,2024-04-02,59,Over 2 Weeks,1,1,Phone,ERI,ERIN WOODS,-113.9676688,51.02097628
24-00082525,2024-02-01,2024-02-01,0,Same Day,5,0,App,LEG,LEGACY,-114.0059978,50.8576144
24-00084009,2024-02-01,2024-02-01,0,Same Day,5,0,Other,BRD,BRIDGELAND/RIVERSIDE,-114.0350798,51.05055069
24-00082389,2024-02-01,2024-03-25,53,Over 2 Weeks,1,1,Other,BVD,BELVEDERE,-113.904983,51.03782747
24-00081284,2024-02-01,2024-02-01,0,Same Day,5,0,Other,BRE,BRENTWOOD,-114.1359192,51.09606554
24-00526604,2024-07-05,2024-07-05,0,Same Day,5,0,Other,SHN,SHAWNESSY,-114.0739762,50.90337303
24-00100312,2024-02-08,2024-03-14,35,Over 2 Weeks,1,1,Other,TUS,TUSCANY,-114.2408862,51.12191109
24-00313698,2024-04-30,2024-04-30,0,Same Day,5,0,App,OAK,OAKRIDGE,-114.129614,50.9696628
24-00088877,2024-02-04,2024-02-04,0,Same Day,5,0,Other,BLM,BELMONT,-114.05528,50.86872242
24-00089275,2024-02-04,2024-02-04,0,Same Day,5,0,Phone,COA,COACH HILL,-114.1829796,51.05838583
24-00313968,2024-04-30,2024-04-30,0,Same Day,5,0,App,WIL,WILLOW PARK,-114.0561955,50.9566238
24-00313803,2024-04-30,2024-04-30,0,Same Day,5,0,App,WIL,WILLOW PARK,-114.0561955,50.9566238
24-00088528,2024-02-04,2024-02-04,0,Same Day,5,0,Other,MNI,MANCHESTER INDUSTRIAL,-114.0572225,51.01325599
24-00950163,2024-12-15,2024-12-16,1,1 Day,5,0,Other,11B,11B,-114.1644974,50.98687965
24-00313573,2024-04-30,2024-04-30,0,Same Day,5,0,Phone,DRG,DEER RIDGE,-114.020234,50.92657387
24-00324536,2024-05-03,2024-05-03,0,Same Day,5,0,Phone,VIS,VISTA HEIGHTS,-114.0177052,51.07193318
24-00089114,2024-02-04,2024-02-04,0,Same Day,5,0,Other,CHR,CHRISTIE PARK,-114.1760176,51.04079953
24-00317078,2024-04-30,2024-04-30,0,Same Day,5,0,Phone,FHT,FOREST HEIGHTS,-113.9687579,51.04924315
24-00314147,2024-04-30,2024-04-30,0,Same Day,5,0,Other,PEN,PENBROOKE MEADOWS,-113.9476872,51.04585329
24-00319458,2024-05-01,2024-05-01,0,Same Day,5,0,Phone,12A,12A,-113.8932142,50.96505615
24-00319801,2024-05-01,2024-05-01,0,Same Day,5,0,Other,PKD,PARKDALE,-114.1353333,51.05994755
24-00319829,2024-05-01,2024-05-01,0,Same Day,5,0,Other,SIL,SILVER SPRINGS,-114.1962818,51.10427454
24-00327179,2024-05-03,2024-05-03,0,Same Day,5,0,Other,SIL,SILVER SPRINGS,-114.1962818,51.10427454
24-00088497,2024-02-03,2024-02-06,3,2-3 Days,4,0,App,LEG,LEGACY,-114.0059978,50.8576144
24-00095805,2024-02-06,2024-03-18,41,Over 2 Weeks,1,1,Phone,GLA,GLAMORGAN,-114.1532273,51.0151168
24-00546193,2024-07-11,2024-07-11,0,Same Day,5,0,App,MON,MONTGOMERY,-114.1622482,51.07107614
24-00323551,2024-05-02,2024-05-02,0,Same Day,5,0,App,PIN,PINERIDGE,-113.946765,51.07425976
24-00096144,2024-02-07,2024-02-07,0,Same Day,5,0,Phone,APP,APPLEWOOD PARK,-113.9278103,51.04487483
24-00324286,2024-05-02,2024-05-02,0,Same Day,5,0,Other,TAR,TARADALE,-113.9340021,51.11794016
24-00323859,2024-05-02,2024-05-02,0,Same Day,5,0,Other,ALT,ALTADORE,-114.1007824,51.01595412
24-00099862,2024-02-08,2024-02-08,0,Same Day,5,0,Other,UOC,UNIVERSITY OF CALGARY,-114.1299338,51.07502079
24-00538341,2024-07-09,2024-07-09,0,Same Day,5,0,Other,STR,STRATHCONA PARK,-114.1775868,51.04741014
24-00100258,2024-02-08,2024-04-05,57,Over 2 Weeks,1,1,Other,MPL,MAPLE RIDGE,-114.034689,50.95763758
24-00532979,2024-07-07,2024-07-09,2,2-3 Days,4,0,Other,SOM,SOMERSET,-114.0813755,50.89890418
24-00339287,2024-05-08,2024-05-08,0,Same Day,5,0,Other,PAN,PANORAMA HILLS,-114.0880634,51.15971101
24-00724522,2024-09-12,2024-09-16,4,1 Week,3,0,Other,MON,MONTGOMERY,-114.1622482,51.07107614
24-00099967,2024-02-08,2024-02-08,0,Same Day,5,0,Other,BRE,BRENTWOOD,-114.1359192,51.09606554
24-00100879,2024-02-08,2024-04-02,54,Over 2 Weeks,1,1,Other,AUB,AUBURN BAY,-113.9577951,50.89269508
24-00685474,2024-08-30,2024-08-30,0,Same Day,5,0,Other,MER,MERIDIAN,-113.9965175,51.05658358
24-00538742,2024-07-09,2024-07-09,0,Same Day,5,0,Other,MRL,MARLBOROUGH,-113.9699877,51.05954228
24-00332004,2024-05-06,2024-05-06,0,Same Day,5,0,Phone,RIC,RICHMOND,-114.1184203,51.02971029
24-00541279,2024-07-10,2024-07-10,0,Same Day,5,0,App,GRV,GREENVIEW,-114.0574699,51.09485614
24-00327370,2024-05-04,2024-05-04,0,Same Day,5,0,Other,ACA,ACADIA,-114.053696,50.97241507
24-00327519,2024-05-04,2024-05-04,0,Same Day,5,0,Other,ROY,ROYAL OAK,-114.2197619,51.14266073
24-00551638,2024-07-13,2024-07-13,0,Same Day,5,0,App,PEN,PENBROOKE MEADOWS,-113.9476872,51.04585329
24-00552113,2024-07-13,2024-07-13,0,Same Day,5,0,App,TUS,TUSCANY,-114.2408862,51.12191109
24-00113213,2024-02-14,2024-02-14,0,Same Day,5,0,Other,DNC,DOWNTOWN COMMERCIAL CORE,-114.0695937,51.04727444
24-00106100,2024-02-10,2024-02-10,0,Same Day,5,0,Other,CNS,CORNERSTONE,-113.9305705,51.15735997
24-00106321,2024-02-11,2024-03-20,38,Over 2 Weeks,1,1,Phone,UMR,UPPER MOUNT ROYAL,-114.0850257,51.02997368
24-00332119,2024-05-06,2024-05-06,0,Same Day,5,0,Other,ACA,ACADIA,-114.053696,50.97241507
24-00106155,2024-02-11,2024-03-04,22,Over 2 Weeks,1,1,Other,BED,BEDDINGTON HEIGHTS,-114.0849111,51.13164399
24-00548469,2024-07-12,2024-07-12,0,Same Day,5,0,App,MLR,MILLRISE,-114.0849141,50.91705537
24-00332420,2024-05-06,2024-05-30,24,Over 2 Weeks,1,1,Other,MCK,MCKENZIE LAKE,-113.9881872,50.91486638
24-00339649,2024-05-08,2024-06-24,47,Over 2 Weeks,1,1,Other,BLN,BELTLINE,-114.0551861,51.03743796
24-00550909,2024-07-12,2024-08-27,46,Over 2 Weeks,1,1,Other,CRE,CRESCENT HEIGHTS,-114.0616132,51.05949595
24-00550114,2024-07-12,2024-07-12,0,Same Day,5,0,Other,CHA,CHAPARRAL,-114.0256688,50.88467246
24-00107906,2024-02-12,2024-05-15,93,Over 2 Weeks,1,1,Other,SAD,SADDLE RIDGE,-113.9456225,51.13057324
24-00109031,2024-02-12,2024-02-12,0,Same Day,5,0,Phone,MLI,MAYLAND,-114.0103024,51.05239256
24-00110380,2024-02-12,2024-02-12,0,Same Day,5,0,Other,HIL,HILLHURST,-114.093646,51.05727753
24-00122350,2024-02-18,2024-02-18,0,Same Day,5,0,Phone,GLR,GLACIER RIDGE,-114.1681928,51.19042039
24-00332938,2024-05-06,2024-05-07,1,1 Day,5,0,Phone,BRA,BRAESIDE,-114.1063659,50.95600269
24-00125320,2024-02-20,2024-02-20,0,Same Day,5,0,Other,BRA,BRAESIDE,-114.1063659,50.95600269
24-00333242,2024-05-06,2024-05-07,1,1 Day,5,0,Other,BNF,BANFF TRAIL,-114.1151284,51.07421633
24-00334864,2024-05-07,2024-05-07,0,Same Day,5,0,Other,HIL,HILLHURST,-114.093646,51.05727753
24-00336972,2024-05-07,2024-05-07,0,Same Day,5,0,App,MON,MONTGOMERY,-114.1622482,51.07107614
24-00337333,2024-05-07,2024-05-07,0,Same Day,5,0,Other,DOV,DOVER,-113.993054,51.02256772
24-00111789,2024-02-13,2024-02-13,0,Same Day,5,0,App,DNC,DOWNTOWN COMMERCIAL CORE,-114.0695937,51.04727444
24-00549032,2024-07-12,2024-09-09,59,Over 2 Weeks,1,1,Other,MIS,MISSION,-114.0680826,51.03315776
24-00350550,2024-05-13,2024-05-13,0,Same Day,5,0,Other,TUX,TUXEDO PARK,-114.0610449,51.07421777
24-00113874,2024-02-14,2024-02-14,0,Same Day,5,0,Phone,EDG,EDGEMONT,-114.1439532,51.12458785
24-00110275,2024-02-12,2024-03-12,29,Over 2 Weeks,1,1,Phone,CIA,CALGARY INTERNATIONAL AIRPORT,-114.0117167,51.12355645
24-00351995,2024-05-13,2024-05-14,1,1 Day,5,0,App,BLM,BELMONT,-114.0552494,50.8686837
24-00115427,2024-02-14,2024-02-23,9,2 Weeks,2,1,Other,COV,COVENTRY HILLS,-114.0531434,51.16490633
24-00733845,2024-09-16,2024-09-17,1,1 Day,5,0,App,CSC,CITYSCAPE,-113.961258,51.14703156
24-00351187,2024-05-13,2024-05-13,0,Same Day,5,0,App,DBC,DEERFOOT BUSINESS CENTRE,-114.0383269,51.11209775
24-00552913,2024-07-14,2024-07-14,0,Same Day,5,0,Other,ALB,ALBERT PARK/RADISSON HEIGHTS,-113.9967779,51.04453295
24-00338558,2024-05-08,2024-05-08,0,Same Day,5,0,Other,DOV,DOVER,-113.993054,51.02256772
24-00117309,2024-02-15,2024-02-15,0,Same Day,5,0,Other,OAK,OAKRIDGE,-114.129614,50.9696628
24-00340715,2024-05-08,2024-05-08,0,Same Day,5,0,Other,WIL,WILLOW PARK,-114.0561955,50.9566238
24-00340947,2024-05-08,2024-05-08,0,Same Day,5,0,App,PKH,PARKHILL,-114.0655345,51.01819229
24-00340509,2024-05-08,2024-05-08,0,Same Day,5,0,Other,LKB,LAKE BONAVISTA,-114.0512956,50.939599
24-00029250,2024-01-12,2024-02-15,34,Over 2 Weeks,1,1,Other,TUX,TUXEDO PARK,-114.0610449,51.07421777
24-00118600,2024-02-15,2024-02-15,0,Same Day,5,0,App,TUX,TUXEDO PARK,-114.0610449,51.07421777
24-00116515,2024-02-15,2024-04-02,47,Over 2 Weeks,1,1,Other,LKB,LAKE BONAVISTA,-114.0512956,50.939599
24-00551339,2024-07-13,2024-07-13,0,Same Day,5,0,Other,PEN,PENBROOKE MEADOWS,-113.9476872,51.04585329
24-00100354,2024-02-08,2024-02-15,7,1 Week,3,0,Phone,SAD,SADDLE RIDGE,-113.9456225,51.13057324
24-00101160,2024-02-08,2024-02-15,7,1 Week,3,0,Other,SAD,SADDLE RIDGE,-113.9456225,51.13057324
24-00343836,2024-05-09,2024-06-24,46,Over 2 Weeks,1,1,Other,VAR,VARSITY,-114.1625068,51.09605377
24-00116589,2024-02-15,2024-02-15,0,Same Day,5,0,Phone,TEM,TEMPLE,-113.9467677,51.08879459
24-00119864,2024-02-16,2024-02-16,0,Same Day,5,0,Phone,THO,THORNCLIFFE,-114.0687804,51.10310303
24-00119795,2024-02-16,2024-02-16,0,Same Day,5,0,Other,LKV,LAKEVIEW,-114.1296214,50.99957241
24-00120542,2024-02-16,2024-02-16,0,Same Day,5,0,Phone,HIL,HILLHURST,-114.093646,51.05727753
24-00343770,2024-05-09,2024-06-24,46,Over 2 Weeks,1,1,Other,SGL,STONEGATE LANDING,-113.9866827,51.16446858
24-00342920,2024-05-09,2024-05-09,0,Same Day,5,0,App,ACA,ACADIA,-114.053696,50.97241507
24-00553815,2024-07-14,2024-07-14,0,Same Day,5,0,Other,EVN,EVANSTON,-114.1124511,51.17108484
24-00343598,2024-05-09,2024-05-22,13,2 Weeks,2,1,Other,DOV,DOVER,-113.993054,51.02256772
24-00343978,2024-05-09,2024-06-12,34,Over 2 Weeks,1,1,Other,OAK,OAKRIDGE,-114.129614,50.9696628
24-00122076,2024-02-17,2024-03-18,30,Over 2 Weeks,1,1,Phone,CRA,CRANSTON,-113.980004,50.87819417
24-00121825,2024-02-17,2024-02-17,0,Same Day,5,0,Other,GPI,GREAT PLAINS,-113.939937,50.98689495
24-00345233,2024-05-10,2024-05-10,0,Same Day,5,0,Other,GDL,GLENDALE,-114.1527189,51.03337139
24-00342735,2024-05-09,2024-06-10,32,Over 2 Weeks,1,1,Other,OAK,OAKRIDGE,-114.129614,50.9696628
24-00561589,2024-07-16,2024-07-16,0,Same Day,5,0,App,MER,MERIDIAN,-113.9965175,51.05658358
24-00350168,2024-05-12,2024-05-12,0,Same Day,5,0,Phone,SCE,SCENIC ACRES,-114.217341,51.11270751
24-00123510,2024-02-19,2024-02-19,0,Same Day,5,0,Other,BLN,BELTLINE,-114.0551861,51.03743796
24-00330193,2024-05-05,2024-06-25,51,Over 2 Weeks,1,1,Other,WSP,WEST SPRINGS,-114.2066863,51.05977297
24-00348893,2024-05-12,2024-05-12,0,Same Day,5,0,App,DNE,DOWNTOWN EAST VILLAGE,-114.0508479,51.04709033
24-00349284,2024-05-12,2024-05-12,0,Same Day,5,0,App,UMR,UPPER MOUNT ROYAL,-114.0850257,51.02997368
24-00350240,2024-05-12,2024-05-29,17,Over 2 Weeks,1,1,Other,RAM,RAMSAY,-114.0425323,51.03641206
24-00364184,2024-05-16,2024-05-30,14,2 Weeks,2,1,Other,LKV,LAKEVIEW,-114.1296214,50.99957241
24-00350224,2024-05-12,2024-06-12,31,Over 2 Weeks,1,1,Phone,SHS,SHAWNEE SLOPES,-114.0858021,50.92618813
24-00561290,2024-07-16,2024-07-16,0,Same Day,5,0,Other,SIG,SIGNAL HILL,-114.179907,51.02326017
24-00120743,2024-02-16,2024-02-20,4,1 Week,3,0,App,REN,RENFREW,-114.039169,51.05965316
24-00353303,2024-05-13,2024-05-30,17,Over 2 Weeks,1,1,Phone,BRI,BRIDLEWOOD,-114.1102096,50.89922016
24-00138958,2024-02-25,2024-04-02,37,Over 2 Weeks,1,1,Other,GDL,GLENDALE,-114.1527189,51.03337139
24-00128032,2024-02-21,2024-02-21,0,Same Day,5,0,Other,DNC,DOWNTOWN COMMERCIAL CORE,-114.0695937,51.04727444
24-00130704,2024-02-21,2024-02-21,0,Same Day,5,0,Other,LIV,LIVINGSTON,-114.0655067,51.18550406
24-00130953,2024-02-21,2024-02-21,0,Same Day,5,0,Other,FAL,FALCONRIDGE,-113.945375,51.10330638
24-00731547,2024-09-16,2024-11-04,49,Over 2 Weeks,1,1,Other,DNW,DOWNTOWN WEST END,-114.0877794,51.04796914
24-00724367,2024-09-12,2024-10-24,42,Over 2 Weeks,1,1,Other,SPR,SPRUCE CLIFF,-114.1362778,51.04865971
24-00563684,2024-07-17,2024-07-17,0,Same Day,5,0,Other,RAN,RANCHLANDS,-114.183647,51.11917908
24-00564393,2024-07-17,2024-07-25,8,2 Weeks,2,1,Other,ASP,ASPEN WOODS,-114.2083866,51.04521538
24-00692239,2024-09-02,2024-09-16,14,2 Weeks,2,1,Other,01K,01K,-114.2227163,51.16872429
24-00697463,2024-09-04,2024-09-16,12,2 Weeks,2,1,Other,MON,MONTGOMERY,-114.1622482,51.07107614
24-00722887,2024-09-12,2024-09-16,4,1 Week,3,0,Other,BOW,BOWNESS,-114.1883885,51.08334629
24-00731222,2024-09-16,2024-09-27,11,2 Weeks,2,1,Other,SHG,SHAGANAPPI,-114.1266523,51.04521136
24-00711604,2024-09-09,2024-09-16,7,1 Week,3,0,Other,MOP,MOUNT PLEASANT,-114.07603,51.07423791
24-00140038,2024-02-26,2024-04-02,36,Over 2 Weeks,1,1,Phone,ING,INGLEWOOD,-114.0191258,51.03414052
